ID,Infection_status,lf_length,lf_width,stem_diameter_mm,fruit_width,fruit_length,transect_number,field_notes,Paired_data_plants,seed_count,seed_count_notes,Seed_count_real_or_predicted,pair_number
D134,Symptomatic,7.4,3.8,,NA,NA,133,,Yes,,not relocated,Real,134
D135,Symptomatic,8.4,4.8,,7.3,8.8,135,,Yes,0,0,Real,135
D136,Symptomatic,4,3,,NA,NA,13,,Yes,0,no fruit,Real,136
D137,Symptomatic,7.5,4.3,,NA,NA,136,,Yes,0,no fruit,Real,137
D138,Symptomatic,11.4,5.8,,NA,NA,56,,Yes,0,no fruit,Real,138
D139,Symptomatic,8.5,4.5,,NA,NA,21,,Yes,0,no fruit,Real,139
D001,Symptomatic,9.9,6.1,,NA,NA,1,,Yes,18.427,,Predicted_from_lf_length,1
D003,Symptomatic,8.9,4.7,,5.5,7.5,1,,Yes,14.80688,,Predicted_from_lf_length,3
D005,Symptomatic,10.4,6.1,,8,10,5,,Yes,20.55655,,Predicted_from_lf_length,5
D006,Symptomatic,11.9,6.7,,NA,NA,6,,Yes,28.53888,,Predicted_from_lf_length,6
D007,Symptomatic,10.8,8.5,,6.1,9.8,7,,Yes,22.43606,,Predicted_from_lf_length,7
D008,Symptomatic,7.8,4,,1.3,4.6,8,,Yes,11.64054,,Predicted_from_lf_length,8
D009,Symptomatic,12.8,8.8,,7.3,12.1,9,,Yes,34.74792,,Predicted_from_lf_length,9
D010,Symptomatic,8.4,5.1,,6.6,8.1,10,,Yes,13.27296,,Predicted_from_lf_length,10
D011,Symptomatic,9.9,5.6,,7,8.9,11,,Yes,18.427,,Predicted_from_lf_length,11
D012,Symptomatic,10.5,6.4,,4.8,6.5,12,,Yes,21.01112,,Predicted_from_lf_length,12
D013,Symptomatic,9.4,7.4,,6.8,7.8,9,,Yes,16.51806,,Predicted_from_lf_length,13
D014,Symptomatic,9.8,8.1,,6.7,7.2,14,,Yes,18.02833,,Predicted_from_lf_length,14
D015,Symptomatic,12.4,8.4,,7.1,9.3,15,,Yes,31.83702,,Predicted_from_lf_length,15
D016,Symptomatic,8,4,,NA,NA,16,,Yes,12.16106,,Predicted_from_lf_length,16
D017,Symptomatic,14.2,11.9,,11,13.9,17,,Yes,47.19722,,Predicted_from_lf_length,17
D018,Symptomatic,8.3,4.7,,NA,NA,18,,Yes,12.9858,,Predicted_from_lf_length,18
D020,Symptomatic,11,7.9,,7.1,8.6,20,,Yes,23.43931,,Predicted_from_lf_length,20
D021,Symptomatic,7.9,5.1,,NA,NA,21,,Yes,11.89796,,Predicted_from_lf_length,21
D023,Symptomatic,11.5,7.5,,6.5,9.8,23,,Yes,26.14812,,Predicted_from_lf_length,23
D024,Symptomatic,9,7.3,,9.1,11.1,24,,Yes,15.13431,,Predicted_from_lf_length,24
D026,Symptomatic,5.6,5.4,,6.7,7.6,26,,Yes,7.19437,,Predicted_from_lf_length,26
D030,Symptomatic,9.4,5,,NA,NA,20,,Yes,16.51806,,Predicted_from_lf_length,30
D031,Symptomatic,10.3,5.8,,6.6,9,31,,Yes,20.1118,,Predicted_from_lf_length,31
D034,Symptomatic,7.6,5.3,,5.6,7.2,34,,Yes,11.1423,,Predicted_from_lf_length,34
D035,Symptomatic,6.6,3.8,,5.2,7.1,35,,Yes,8.953315,,Predicted_from_lf_length,35
D036,Symptomatic,8,4,,4.9,6.7,36,,Yes,12.16106,,Predicted_from_lf_length,36
D039,Symptomatic,5,2.8,,4.7,6.5,26,,Yes,6.309545,,Predicted_from_lf_length,39
D040,Symptomatic,7.4,4.8,,3.8,5,40,,Yes,10.66539,,Predicted_from_lf_length,40
D041,Symptomatic,8,4.6,,3.4,6.5,41,,Yes,12.16106,,Predicted_from_lf_length,41
D042,Symptomatic,8.6,4.2,,3,3.5,42,,Yes,13.86648,,Predicted_from_lf_length,42
D047,Symptomatic,5.9,3.6,,NA,NA,47,,Yes,7.682279,,Predicted_from_lf_length,47
D048,Symptomatic,10,5.7,,7,9.2,48,,Yes,18.83448,,Predicted_from_lf_length,48
D049,Symptomatic,8.8,5.7,,1.9,3.8,49,,Yes,14.48653,,Predicted_from_lf_length,49
D051,Symptomatic,10.3,8.5,,NA,NA,51,,Yes,20.1118,,Predicted_from_lf_length,51
D052,Symptomatic,8.1,5.1,,NA,NA,51,,Yes,12.42998,,Predicted_from_lf_length,52
D053,Symptomatic,9.8,6.4,,6.4,10.1,51,,Yes,18.02833,,Predicted_from_lf_length,53
D056,Symptomatic,7.5,4.5,,NA,NA,56,,Yes,10.90124,,Predicted_from_lf_length,56
D062,Symptomatic,11.1,7.9,,1.3,3.9,62,,Yes,23.95764,,Predicted_from_lf_length,62
D063,Symptomatic,9.2,6.2,,5.7,7.4,62,,Yes,15.81105,,Predicted_from_lf_length,63
D065,Symptomatic,9.5,5.7,,NA,NA,65,,Yes,16.88333,,Predicted_from_lf_length,65
